"","track_name","artist_names","peak_rank","weeks_on_chart","album"
"434","Lo Vas A Olvidar (with ROSALÍA)","Billie Eilish, ROSALÍA",19,1,0
"435","Skin","Sabrina Carpenter",50,1,0
"436","34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","Ariana Grande, Doja Cat, Megan Thee Stallion",20,2,0
"437","Bad Boy (with Young Thug)","Juice WRLD, Young Thug",27,2,0
"438","Wonder","Shawn Mendes",12,17,0
"439","Nathy Peluso: Bzrp Music Sessions, Vol. 36","Bizarrap, Nathy Peluso",83,8,0
"440","Body","Megan Thee Stallion",61,10,0
"441","Ohne Dich","KASIMIR1441, badmómzjay, WILDBWOYS",99,2,0
"442","Ay, DiOs Mío!","KAROL G",14,29,0
"443","Vibez","ZAYN",55,3,0
"444","Despeinada","Ozuna, Camilo",37,21,0
"445","Tattoo - Remix with Camilo","Rauw Alejandro, Camilo",22,29,0
"446","Lifestyle (feat. Adam Levine)","Jason Derulo, Adam Levine, Maroon 5",128,1,0
"447","Daisy","Ashnikko",45,19,0
"448","Los Dioses","Anuel AA, Ozuna",137,1,0
"449","Can You Feel My Heart","Bring Me The Horizon",140,2,0
"450","All I Want - From ""High School Musical: The Musical: The Series""","Olivia Rodrigo, Disney",103,11,0
"451","pov","Ariana Grande",20,13,0
"452","Midnight Sky","Miley Cyrus",14,24,0
"453","Tyler Herro","Jack Harlow",62,13,0
"454","Meia Noite (Você tem meu Whatsapp)","Tarcísio do Acordeon",151,5,0
"455","Si Me Tomo Una Cerveza","Migrantes, Alico",132,9,0
"456","Hawái - Remix","Maluma, The Weeknd",17,12,0
"457","ily (i love you baby) (feat. Emilee)","Surf Mesa, Emilee",9,43,0
"458","Toosie Slide","Drake",2,43,"Dark Lane Demo Tapes"
"459","Somebody’s Problem","Morgan Wallen",90,4,0
"460","La Jeepeta - Remix","Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",13,37,0
"461","Mi Cuarto","Jerry Di",47,23,0
"462","Mds","Kawe, Mc Lele JP, Original Quality",175,1,0
"463","Moonlight","XXXTENTACION",2,131,0
"464","De Una Vez","Selena Gomez",66,2,0
"465","Everybody Dies In Their Nightmares","XXXTENTACION",24,63,0
"466","Wasted On You","Morgan Wallen",83,3,0
"467","I Don't Care (with Justin Bieber)","Ed Sheeran, Justin Bieber",1,86,0
"468","Fly Away","Tones And I",188,3,0
"469","Way Out (feat. Big Sean)","Jack Harlow, Big Sean",121,7,0
"470","Remember That Night?","Sara Kays",191,1,0
"471","Diamonds","Sam Smith",42,17,0
"472","Dancing in My Room","347aidan",190,3,0
"473","Be Alright","Dean Lewis",12,121,0
"474","De Cora <3","Rauw Alejandro, J Balvin",116,8,0
"475","Thinking out Loud","Ed Sheeran",58,126,0
"476","champagne problems","Taylor Swift",10,7,0
"477","Go Crazy","Chris Brown, Young Thug",37,35,0
"478","Reminds Me Of You","Juice WRLD, The Kid LAROI",73,5,0
"479","Deep End","Fousheé",67,13,0
"480","Sand In My Boots","Morgan Wallen",158,1,0
"481","MODO TURBO","Luísa Sonza, Pabllo Vittar, Anitta",108,3,0
"482","865","Morgan Wallen",168,1,0
"483","7 Summers","Morgan Wallen",53,5,0
"484","Cry Baby (feat. DaBaby)","Megan Thee Stallion, DaBaby",174,1,0
"485","Lovesick Girls","BLACKPINK",6,14,0
"486","Kings & Queens","Ava Max",41,38,0
"487","Caramelo","Ozuna",17,30,0
"488","HACIENDO QUE ME AMAS","Bad Bunny",21,7,0
"489","La Luz","Sech, J Balvin",65,10,0
"490","The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke, 50 Cent, Roddy Ricch",17,25,0
"491","More Than My Hometown","Morgan Wallen",188,1,0
"492","Warning","Morgan Wallen",190,1,0
"493","Recairei - Ao Vivo","Os Barões Da Pisadinha",117,10,0
"494","Ice Cream (with Selena Gomez)","BLACKPINK, Selena Gomez",5,19,0
"495","Be Kind (with Halsey)","Marshmello, Halsey",22,32,0
"496","Fever","Dua Lipa, Angèle",76,8,0
"497","What’s Next","Drake",2,1,0
"498","Lemon Pepper Freestyle (feat. Rick Ross)","Drake, Rick Ross",17,1,0
"499","Selfish Love (with Selena Gomez)","DJ Snake, Selena Gomez",56,1,0
"500","Machu Picchu","Camilo, Evaluna Montaner",66,1,0
"501","Además de Mí - Remix","Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",75,1,0
"502","VOCE","Madame",158,1,0
"503","Life's A Mess II (with Clever & Post Malone)","Juice WRLD, Clever, Post Malone",166,1,0
"504","CHIAMAMI PER NOME","Francesca Michielin, Fedez",170,1,0
"505","Mona Lisa","Booba, JSX",175,1,0
"506","Real As It Gets (feat. EST Gee)","Lil Baby, EST Gee",180,1,0
"507","PROBLEMA","Daddy Yankee",183,1,0
"508","Devil Eyes","Hippie Sabotage",184,1,0
"509","Summer of Love (Shawn Mendes & Tainy)","Shawn Mendes, Tainy",34,1,0
"510","Don’t Go (with Justin Bieber & Don Toliver)","Skrillex, Justin Bieber, Don Toliver",53,1,0
"511","Matt Hardy 999 (feat. Juice WRLD)","Trippie Redd, Juice WRLD",78,1,0
"512","Ranjha (From ""Shershaah"")","Jasleen Royal, B Praak, Romy, Anvita Dutt",79,1,0
"513","Mood Ring","Lorde",81,1,0
"514","Rich MF (feat. Polo G & Lil Durk)","Trippie Redd, Polo G, Lil Durk",105,1,0
"515","Chega E Senta - Ao Vivo","John Amplificado",110,1,0
"516","Solar Power","Lorde",25,5,0
"517","Loverboy","A-Wall",165,1,0
"518","Essence (feat. Justin Bieber & Tems)","WizKid, Justin Bieber, Tems",177,1,0
"519","LO$ER=LO♡ER","TOMORROW X TOGETHER",182,1,0
"520","Holy Smokes (feat. Lil Uzi Vert)","Trippie Redd, Lil Uzi Vert",116,2,0
"521","Chasing Stars (feat. James Bay)","Alesso, Marshmello, James Bay",194,1,0
"522","Angst","Apache 207",149,1,0
"523","no body, no crime (feat. HAIM)","Taylor Swift, HAIM",15,4,0
"524","Sunday Best","Surfaces",13,44,"Where the Light Is"
"525","Amor ou o Litrão","Petter Ferraz, Menor Nico",171,2,0
"526","Happier","Marshmello, Bastille",2,117,0
"527","Don't Stop Me Now - Remastered 2011","Queen",51,70,0
"528","Azul","J Balvin",61,39,0
"529","Basta Você Me Ligar - Ao Vivo","Os Barões Da Pisadinha, Xand Avião",183,2,0
"530","Tequila Shots","Kid Cudi",49,4,0
"531","Lose Control","MEDUZA, Becky Hill, Goodboys",27,55,0
"532","I CAN'T STOP ME","TWICE",68,8,0
"533","E-GIRLS ARE RUINING MY LIFE!","CORPSE, Savage Ga$p",158,5,0
"534","Solid (feat. Drake)","Young Stoner Life, Young Thug, Gunna, Drake",27,1,0
"535","AM","Nio Garcia, Flow La Movie",34,2,0
"536","Batom de Cereja - Ao Vivo","Israel & Rodolffo",55,6,0
"537","Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",20,3,0
"538","Met Him Last Night (feat. Ariana Grande)","Demi Lovato, Ariana Grande",33,3,0
"539","Cover Me In Sunshine","P!nk, Willow Sage Hart",70,4,0
"540","Ski","Young Stoner Life, Young Thug, Gunna",72,1,0
"541","Diamonds Dancing (feat. Travis Scott)","Young Stoner Life, Young Thug, Gunna, Travis Scott",75,1,0
"542","Disco Arranhado - Funk Remix","Malu, DJ Lucas Beat",82,4,0
"543","Otra Noche Sin Ti","J Balvin, Khalid",63,2,0
"544","Headshot (feat. Polo G & Fivio Foreign)","Lil Tjay, Polo G, Fivio Foreign",64,5,0
"545","On The Ground","ROSÉ",10,6,0
"546","As I Am (feat. Khalid)","Justin Bieber, Khalid",9,5,0
"547","Slumber Party (feat. Princess Nokia)","Ashnikko, Princess Nokia",97,3,0
"548","Follow You","Imagine Dragons",75,6,0
"549","Liberdade (Quando o Grave Bate Forte)","Alok, Mc Don Juan, Dj GBR",105,1,0
"550","Cloud 9","Beach Bunny",91,4,0
"551","Cupid's Chokehold / Breakfast in America","Gym Class Heroes",77,6,"The Papercut Chronicles"
"552","Wasted Love (feat. Lagique)","Ofenbach, Lagique",113,4,0
"553","Travesuras - Remix","Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",87,6,0
"554","You","Regard, Troye Sivan, Tate McRae",119,1,0
"555","Film out","BTS",25,3,0
"556","Shy Away","Twenty One Pilots",53,2,0
"557","Run It Up (feat. Offset & Moneybagg Yo)","Lil Tjay, Offset, Moneybagg Yo",94,3,0
"558","Volta Bebê, Volta Neném","Dj Guuga, DJ Ivis",154,1,0
"559","Aloha","Maluma, Beéle, Rauw Alejandro, Mambo Kingz, DJ Luian, Darell",161,1,0
"560","Bubblegum Bitch","MARINA",168,3,0
"561","L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante",115,6,0
"562","Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",155,7,0
"563","Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo","Os Barões Da Pisadinha, Jorge",186,1,0
"564","LA CANCIÓN","J Balvin, Bad Bunny",17,55,0
"565","You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)","Taylor Swift, Maren Morris",51,2,0
"566","Dancing With The Devil","Demi Lovato",132,1,0
"567","WACHA","KHEA, Duki",153,1,0
"568","Gone","ROSÉ",26,4,0
"569","Unstable (feat. The Kid LAROI)","Justin Bieber, The Kid LAROI",28,3,0
"570","Payphone","Maroon 5, Wiz Khalifa",193,3,0
"571","Off My Face","Justin Bieber",37,3,0
"572","Lost Cause","Billie Eilish",15,3,0
"573","enough for you","Olivia Rodrigo",11,5,0
"574","t r a n s p a r e n t s o u l feat. Travis Barker","WILLOW, Travis Barker",60,3,0
"575","1 step forward, 3 steps back","Olivia Rodrigo",13,5,0
"576","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo",17,8,0
"577","Holiday","KSI",76,1,0
"578","Ramenez la coupe à la maison","Vegedream",77,1,0
"579","hope ur ok","Olivia Rodrigo",22,5,0
"580","Alcohol-Free","TWICE",80,2,0
"581","LUMBERJACK","Tyler, The Creator",97,1,0
"582","Having Our Way (feat. Drake)","Migos, Drake",50,2,0
"583","Poblado","Crissin, Totoy El Frio, Natan & Shander",59,6,0
"584","late at night","Roddy Ricch",58,3,0
"585","Bipolar","Mc Davi, Mc Pedrinho, Mc Don Juan, DJ 900",79,7,0
"586","Dick (feat. Doja Cat)","StarBoi3, Doja Cat",72,8,0
"587","By Your Side (feat. Tom Grennan)","Calvin Harris, Tom Grennan",80,3,0
"588","Ball If I Want To","DaBaby",120,1,0
"589","Your Power","Billie Eilish",4,8,0
"590","malibu","sangiovanni",81,6,0
"591","Eladio Carrion: Bzrp Music Sessions, Vol. 40","Bizarrap, Eladio Carrion",101,2,0
"592","MILLE – feat. Orietta Berti","Fedez, Achille Lauro, Orietta Berti",138,2,0
"593","working","Tate McRae, Khalid",146,1,0
"594","Petrouchka (feat. PLK)","Soso Maness, PLK",112,3,0
"595","Our Song","Anne-Marie, Niall Horan",100,5,0
"596","p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole, Lil Baby",11,6,0
"597","m y . l i f e (with 21 Savage & Morray)","J. Cole, 21 Savage, Morray",6,6,0
"598","No Return (with The Kid LAROI & Lil Durk)","Polo G, The Kid LAROI, Lil Durk",66,2,0
"599","MI FAI IMPAZZIRE","BLANCO, Sfera Ebbasta",191,1,0
"600","We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song","Martin Garrix, Bono, The Edge",175,2,0
"601","WITHOUT YOU (with Miley Cyrus)","The Kid LAROI, Miley Cyrus",34,1,0
"602","I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled, Post Malone, DaBaby, Megan Thee Stallion, Lil Baby",47,1,0
"603","In the morning","ITZY",69,1,0
"604","durag activity (with Travis Scott)","Baby Keem, Travis Scott",72,1,0
"605","Snow Tha Product: Bzrp Music Sessions, Vol. 39","Bizarrap, Snow Tha Product",92,1,0
"606","EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)","DJ Khaled, Lil Baby, Lil Durk",101,1,0
"607","love race (feat. Kellin Quinn)","Machine Gun Kelly, Kellin Quinn",113,1,0
"608","LET IT GO (feat. Justin Bieber & 21 Savage)","DJ Khaled, 21 Savage, Justin Bieber",122,1,0
"609","Choker","Twenty One Pilots",127,1,0
"610","Girl From Rio","Anitta",137,1,0
"611","Ramen & OJ","Joyner Lucas, Lil Baby",191,1,0
"612","Explícito","Myke Towers",189,3,0
"613","i n t e r l u d e","J. Cole",21,1,0
"614","Higher Power","Coldplay",39,1,0
"615","NEVER LEFT","Lil Tecca",72,1,0
"616","Tipo Gin - Ao Vivo","MC Kevin o Chris",130,1,0
"617","What You Need","Don Toliver",169,1,0
"618","Extasy","187 Strassenbande, Bonez MC, Frauenarzt",184,1,0
"619","Me Fije","Alex Rose, Rauw Alejandro",197,1,0
"620","Paradigmas","Jorge & Mateus",199,1,0
"621","Last Christmas","Wham!",2,34,0
"622","abcdefu","GAYLE",1,6,"abcdefu"
"623","Rockin' Around The Christmas Tree","Brenda Lee",5,29,0
"624","Jingle Bell Rock","Bobby Helms",7,28,0
"625","It's Beginning to Look a Lot like Christmas","Michael Bublé",6,29,0
"626","Santa Tell Me","Ariana Grande",3,30,0
"627","It's the Most Wonderful Time of the Year","Andy Williams",8,28,0
"628","Feliz Navidad","José Feliciano",14,23,0
"629","Underneath the Tree","Kelly Clarkson",9,20,0
"630","Mistletoe","Justin Bieber",15,27,0
"631","Sleigh Ride","The Ronettes",16,20,0
"632","Driving Home for Christmas - 2019 Remaster","Chris Rea",21,22,0
"633","Merry Christmas","Ed Sheeran, Elton John",25,3,0
"634","Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra, B. Swanson Quartet",19,25,0
"635","Let It Snow! Let It Snow! Let It Snow!","Dean Martin",11,18,0
"636","Holly Jolly Christmas","Michael Bublé",21,24,0
"637","White Christmas","Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",26,23,0
"638","Happy Xmas (War Is Over) - Remastered 2010","John Lennon, Yoko Ono",13,23,0
"639","Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",15,24,0
"640","Merry Christmas Everyone","Shakin' Stevens",35,22,0
"641","Step Into Christmas","Elton John",36,15,0
"642","Do They Know It's Christmas? - 1984 Version","Band Aid",12,25,0
"643","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1,6,0
"644","A Holly Jolly Christmas - Single Version","Burl Ives",37,21,0
"645","The Christmas Song (Merry Christmas To You)","Nat King Cole",30,22,0
"646","I Hate U","SZA",19,3,"I Hate U"
"647","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",54,19,0
"648","Oh My God","Adele",3,5,0
"649","Santa Claus Is Coming To Town","The Jackson 5",59,12,0
"650","Christmas (Baby Please Come Home)","Darlene Love",50,11,0
"651","My Only Wish (This Year)","Britney Spears",64,14,0
"652","Run Rudolph Run - Single Version","Chuck Berry",65,13,0
"653","Thank God It's Christmas - Non-Album Single","Queen",71,6,0
"654","Fairytale of New York (feat. Kirsty MacColl)","The Pogues, Kirsty MacColl",47,21,0
"655","I AM WOMAN","Emmy Meli",81,4,"I AM WOMAN"
"656","Medallo","Blessd, Justin Quiles, Lenny Tavárez",82,5,0
"657","Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",44,14,0
"658","You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani, Blake Shelton",88,4,0
"659","Girl Of My Dreams (with SUGA of BTS)","Juice WRLD, SUGA, BTS",28,2,0
"660","Blue Christmas","Elvis Presley",59,20,0
"661","Super Gremlin","Kodak Black",91,2,0
"662","Tacones Rojos","Sebastian Yatra",92,5,0
"663","Have Yourself A Merry Little Christmas","Sam Smith",29,19,0
"664","Broadway Girls (feat. Morgan Wallen)","Lil Durk, Morgan Wallen",94,1,0
"665","Jingle Bells - Remastered 1999","Frank Sinatra",98,4,0
"666","DANCE CRIP","Trueno",79,5,0
"667","Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",72,8,0
"668","Wandered To LA (with Justin Bieber)","Juice WRLD, Justin Bieber",33,3,0
"669","Christmas Lights","Coldplay",61,14,0
"670","Santa Baby","Kylie Minogue",52,11,0
"671","Pope Is a Rockstar","SALES",108,2,"SALES LP"
"672","LA FAMA (with The Weeknd)","ROSALÍA, The Weeknd",32,6,0
"673","Vai Lá Em Casa Hoje","George Henrique & Rodrigo, Marília Mendonça",114,5,0
"674","Baby, It's Cold Outside","Dean Martin",116,4,0
"675","One More Sleep","Leona Lewis",93,6,0
"676","Desesperados","Rauw Alejandro, Chencho Corleone",125,2,0
"677","Santa Baby (with Henri René & His Orchestra)","Eartha Kitt, Henri René and His Orchestra",98,9,0
"678","It'll Be Okay","Shawn Mendes",76,3,0
"679","Santa Claus Is Coming to Town","Michael Bublé",46,14,0
"680","Rudolph The Red-Nosed Reindeer","Dean Martin",125,4,0
"681","Carol of the Bells","Mykola Dmytrovych Leontovych, John Williams",104,8,0
"682","Santa, Can’t You Hear Me","Kelly Clarkson, Ariana Grande",138,1,0
"683","ELEVEN","IVE",127,3,0
"684","Already Dead","Juice WRLD",18,6,0
"685","Joy To The World","Nat King Cole",111,4,0
"686","Please Come Home for Christmas - 2013 Remaster","Eagles",148,2,0
"687","Toma Toma Vapo Vapo","Zé Felipe, Mc Danny",151,4,0
"688","Presepada","Marília Mendonça, Maiara & Maraisa",138,5,0
"689","Bar","TINI, L-Gante",99,6,0
"690","What Christmas Means To Me","Stevie Wonder",113,4,0
"691","Little Saint Nick - 1991 Remix","The Beach Boys",149,5,0
"692","Santa's Coming for Us","Sia",80,9,0
"693","I Saw Mommy Kissing Santa Claus","The Jackson 5",99,4,0
"694","Burn","Juice WRLD",56,2,0
"695","Ameaça","Paulo Pires, Mc Danny, Marcynho Sensação",132,6,0
"696","No Lie","Sean Paul, Dua Lipa",80,21,0
"697","I'll Be Home for Christmas","Michael Bublé",110,3,0
"698","I Wish It Could Be Christmas Everyday","Wizzard",187,1,0
"699","A La Antigüita","Calibre 50",128,6,0
"700","Winter Wonderland","Tony Bennett",78,5,0
"701","Can I Get It","Adele",9,3,0
"702","Jefe","Ninho",115,1,0
"703","I Drink Wine","Adele",12,3,0
"704","Just Look Up (From Don’t Look Up)","Ariana Grande, Kid Cudi",142,1,0
"705","Alien Blues","Vundabar",157,1,0
"706","My Little Love","Adele",11,3,0
"707","Bad Man (Smooth Criminal)","Polo G",74,3,0
"708","Súbelo","Anuel AA, Myke Towers, Jhay Cortez",125,3,0
"709","Earned It (Fifty Shades Of Grey)","The Weeknd",167,2,0
"710","Wonderwall - Remastered","Oasis",152,98,0
"711","Madonna","Bausa, Apache 207",140,1,0
"712","CLOUDS","NF",144,1,0
"713","motive (with Doja Cat)","Ariana Grande, Doja Cat",14,5,0
"714","Better Believe","Belly, The Weeknd, Young Thug",89,1,0
"715","Blaues Licht","RAF Camora, Bonez MC",94,1,0
"716","Clash (feat. Stormzy)","Dave, Stormzy",99,2,0
"717","2:50 Remix","MYA, TINI, Duki",80,5,0
"718","New Normal","Khalid",141,1,0
"719","KESI - Remix","Camilo, Shawn Mendes",100,2,0
"720","Não, Não Vou","Mari Fernandez",103,5,0
"721","como si no importara","Emilia, Duki",153,1,0
"722","Red Light Green Light","DaBaby",121,5,0
"723","Wild Side (feat. Cardi B)","Normani, Cardi B",110,2,0
"724","Bout A Million (feat. 42 Dugg & 21 Savage)","Pop Smoke, 21 Savage, 42 Dugg",65,2,0
"725","Demeanor (feat. Dua Lipa)","Pop Smoke, Dua Lipa",72,2,0
"726","As the World Caves In","Sarah Cothran",181,3,0
"727","Kiss My (Uh Oh)","Anne-Marie, Little Mix",191,1,0
"728","De Museo","Bad Bunny",64,3,0
"729","Não Nasceu pra Namorar","MC Zaquin, MC Rick",149,5,0
"730","penhasco.","Luísa Sonza",197,1,0
"731","Verdansk","Dave",199,1,0
"732","WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",22,1,0
"733","JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","Tyler, The Creator, Lil Uzi Vert, Pharrell Williams",40,1,0
"734","LEMONHEAD (feat. 42 Dugg)","Tyler, The Creator, 42 Dugg",47,1,0
"735","I Don't Do Drugs (feat. Ariana Grande)","Doja Cat, Ariana Grande",55,1,0
"736","HOT WIND BLOWS (feat. Lil Wayne)","Tyler, The Creator, Lil Wayne",59,1,0
"737","CORSO","Tyler, The Creator",63,1,0
"738","SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues)","Tyler, The Creator, Brent Faiyaz, Fana Hues",69,1,0
"739","SIR BAUDELAIRE (feat. DJ Drama)","Tyler, The Creator, DJ Drama",73,1,0
"740","MASSA","Tyler, The Creator",82,1,0
"741","RUNITUP (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",85,1,0
"742","Sommergewitter","Pashanim",105,1,0
"743","MANIFESTO (feat. Domo Genesis)","Tyler, The Creator, Domo Genesis",108,1,0
"744","WILSHIRE","Tyler, The Creator",132,1,0
"745","RISE! (feat. DAISY WORLD)","Tyler, The Creator, DAISY WORLD",141,1,0
"746","All Eyes On Me","Bo Burnham",152,1,0
"747","Naked","Doja Cat",165,1,0
"748","Payday (feat. Young Thug)","Doja Cat, Young Thug",176,1,0
"749","Been Like This","Doja Cat",179,1,0
"750","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money, Gunna, Don Toliver, Lil Uzi Vert",122,2,0
"751","Wrecked","Imagine Dragons",71,2,0
"752","[The Jackie] (with J. Cole & Lil Tjay)","Bas, J. Cole, Lil Tjay",164,1,0
"753","Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo, Wesley Safadão",169,2,0
"754","WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix","BIA, Nicki Minaj",184,1,0
"755","Memory","Kane Brown, blackbear",187,1,0
"756","Bubbly (with Drake & Travis Scott)","Young Thug, Drake, Travis Scott",51,1,0
"757","Send My Love (To Your New Lover)","Adele",88,13,0
"758","Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage","Skylar Grey, Polo G, Mozzy, Eminem",61,3,0
"759","Ateo","C. Tangana, Nathy Peluso",78,2,0
"760","MAMMAMIA","Måneskin",48,2,0
"761","Chasing Pavements","Adele",103,1,0
"762","Make You Feel My Love","Adele",114,1,0
"763","All I Ask","Adele",116,1,0
"764","Hello","Adele",124,13,0
"765","Have Mercy","Chlöe",88,6,0
"766","Unfollow","Duki, Justin Quiles, Bizarrap",149,1,0
"767","Savage","aespa",118,2,0
"768","LOCO","ITZY",96,4,0
"769","Undeniable (feat. X Ambassadors)","Kygo, X Ambassadors",166,1,0
"770","we fell in love in october","girl in red",148,3,0
"771","She Knows (feat. Amber Coffman & Cults)","J. Cole, Cults, Amber Coffman",124,6,0
"772","Santé","Stromae",174,1,0
"773","Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick, G Herbo, Lil Durk, 21 Savage",183,2,0
"774","Venom - Music From The Motion Picture","Eminem",34,14,0
"775","Livin It Up (with Post Malone & A$AP Rocky)","Young Thug, A$AP Rocky, Post Malone",191,1,0
"776","Ela e Ela","Zé Neto & Cristiano",144,7,0
"777","Christmas Tree","V",100,1,0
"778","Malvadão 3","Xamã, Gustah, Neo Beats",118,1,0
"779","We Don't Talk About Bruno","Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast",119,1,0
"780","Peru","Fireboy DML, Ed Sheeran",122,1,0
"781","Parada Louca","Mari Fernandez, Marcynho Sensação",146,1,0
"782","Bloqueado - Ao Vivo","Gusttavo Lima",153,1,0
"783","Frosty The Snowman","Ella Fitzgerald",195,1,0
"784","MIDDLE OF THE NIGHT","Elley Duhé",197,1,"MIDDLE OF THE NIGHT"
"785","Merry Xmas Everybody","Slade",199,1,0
"786","Mistletoe And Holly - Remastered 1999","Frank Sinatra",129,4,0
"787","Jail","Kanye West",10,1,0
"788","Off The Grid","Kanye West",12,1,0
"789","Moon","Kanye West",19,1,0
"790","Believe What I Say","Kanye West",26,1,0
"791","Jonah","Kanye West",28,1,0
"792","God Breathed","Kanye West",29,1,0
"793","Ok Ok","Kanye West",30,1,0
"794","Butter - Megan Thee Stallion Remix","BTS, Megan Thee Stallion",33,1,0
"795","Heaven and Hell","Kanye West",34,1,0
"796","No Child Left Behind","Kanye West",37,1,0
"797","Junya","Kanye West",41,1,0
"798","24","Kanye West",43,1,0
"799","Remote Control","Kanye West",45,1,0
"800","Pure Souls","Kanye West",50,1,0
"801","Donda","Kanye West",52,1,0
"802","Keep My Spirit Alive","Kanye West",56,1,0
"803","Jesus Lord","Kanye West",57,1,0
"804","New Again","Kanye West",68,1,0
"805","Jail pt 2","Kanye West",76,1,0
"806","Lord I Need You","Kanye West",78,1,0
"807","Donda Chant","Kanye West",83,1,0
"808","Come to Life","Kanye West",84,1,0
"809","I am not a woman, I'm a god","Halsey",90,1,0
"810","Tell The Vision","Kanye West",101,1,0
"811","Ok Ok pt 2","Kanye West",108,1,0
"812","Sharing Locations (feat. Lil Baby & Lil Durk)","Meek Mill, Lil Durk, Lil Baby",121,1,0
"813","Junya pt 2","Kanye West",127,1,0
"814","Wow Wow (feat. Becky G)","Maria Becerra, Becky G",148,1,0
"815","Você Beberia Ou Não Beberia?","Zé Neto & Cristiano",153,1,0
"816","Jesus Lord pt 2","Kanye West",157,1,0
"817","Belly, The Weeknd - Die For It (ft. Nas)","Belly, The Weeknd, Nas",159,1,0
"818","Thunderous","Stray Kids",168,1,0
"819","999 (with Camilo)","Selena Gomez, Camilo",180,1,0
"820","Remember (and David Guetta)","Becky Hill, David Guetta",162,4,0
"821","Champagne Poetry","Drake",6,2,0
"822","No Friends In The Industry","Drake",20,2,0
"823","TSU","Drake",15,2,0
"824","Papi’s Home","Drake",12,2,0
"825","In The Bible (with Lil Durk & Giveon)","Drake, Lil Durk, Giveon",16,2,0
"826","Love All (with JAY-Z)","Drake, JAY-Z",17,2,0
"827","N 2 Deep","Drake, Future",22,2,0
"828","range brothers (with Kendrick Lamar)","Baby Keem, Kendrick Lamar",114,1,0
"829","Pipe Down","Drake",26,2,0
"830","2CB","RAF Camora, Luciano",136,1,0
"831","Obsessed With You","Central Cee",145,1,0
"832","Fountains (with Tems)","Drake, Tems",34,2,0
"833","IMY2 (with Kid Cudi)","Drake, Kid Cudi",31,2,0
"834","7am On Bridle Path","Drake",27,2,0
"835","Race My Mind","Drake",30,2,0
"836","love nwantiti (feat. ElGrande Toto) - North African Remix","CKay, ElGrandeToto",168,1,0
"837","INFERNO","Sub Urban, Bella Poarch",192,1,0
"838","Tell The Vision (feat. Kanye West & Pusha T)","Pop Smoke, Kanye West, Pusha T",66,1,0
"839","Woo Baby (feat. Chris Brown)","Pop Smoke, Chris Brown",87,1,0
"840","Holy Smokes","Trippie Redd, Lil Uzi Vert",116,1,0
"841","More Time","Pop Smoke",127,1,0
"842","Coupe","Pop Smoke",129,1,0
