"","track_name","artist_names","peak_rank","weeks_on_chart","album"
"83","Ropa Cara","Camilo",40,6,0
"84","willow","Taylor Swift",3,12,0
"85","bad guy","Billie Eilish",1,101,0
"86","The Hills","The Weeknd",52,14,0
"87","Golden","Harry Styles",44,20,0
"88","Señorita","Shawn Mendes, Camila Cabello",1,89,0
"89","The Box","Roddy Ricch",1,64,"Please Excuse Me for Being Antisocial"
"90","Laugh Now Cry Later (feat. Lil Durk)","Drake, Lil Durk",2,29,0
"91","Chica Ideal","Sebastian Yatra, Guaynaa",40,19,0
"92","Adore You","Harry Styles",6,65,0
"93","Breaking Me","Topic, A7S",8,50,0
"94","Fiel","Los Legendarios, Wisin, Jhay Cortez",90,3,0
"95","Hasta Abajo","Kevin Roldan, Bryant Myers, Lyanno",91,7,0
"96","Mi Niña","Wisin, Myke Towers, Los Legendarios",37,22,0
"97","Memories","Maroon 5",2,76,0
"98","911","Sech",94,3,0
"99","BEBÉ","Camilo, El Alfa",45,13,0
"100","Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke, A Boogie Wit da Hoodie",88,26,0
"101","Snowman","Sia",12,12,"Everyday Is Christmas (Deluxe Edition)"
"102","Believer","Imagine Dragons",16,213,0
"103","Life Goes On","BTS",4,15,0
"104","UN DIA (ONE DAY) (Feat. Tainy)","J Balvin, Dua Lipa, Bad Bunny, Tainy",10,32,0
"105","Blueberry Faygo","Lil Mosey",8,56,"Certified Hitmaker"
"106","Back In Blood (feat. Lil Durk)","Pooh Shiesty, Lil Durk",102,2,0
"107","Wishing Well","Juice WRLD",7,34,0
"108","Say You Won't Let Go","James Arthur",7,216,0
"109","test drive","Ariana Grande",38,2,0
"110","In Your Eyes","The Weeknd",6,47,"After Hours"
"111","Daddy Issues","The Neighbourhood",99,21,0
"112","HOLIDAY","Lil Nas X",19,16,"HOLIDAY"
"113","Perfect","Ed Sheeran",4,207,0
"114","Shape of You","Ed Sheeran",1,214,0
"115","HIGHEST IN THE ROOM","Travis Scott",1,74,0
"116","Dior","Pop Smoke",40,50,0
"117","Take You Dancing","Jason Derulo",30,32,"Take You Dancing"
"118","Jocelyn Flores","XXXTENTACION",7,183,0
"119","Take Me To Church","Hozier",115,21,0
"120","Vida de Rico","Camilo",25,23,0
"121","Starboy","The Weeknd, Daft Punk",1,78,0
"122","Robbery","Juice WRLD",18,85,0
"123","Polvo","Nicky Jam, Myke Towers",82,15,0
"124","Life Is Good (feat. Drake)","Future, Drake",3,60,0
"125","I Feel It Coming","The Weeknd, Daft Punk",9,61,0
"126","Train Wreck","James Arthur",62,20,0
"127","Hayloft","Mother Mother",123,10,0
"128","Una Locura","Ozuna, J Balvin, Chencho Corleone",34,25,0
"129","La Tóxica","Farruko",22,26,0
"130","Put Your Records On","Ritt Momney",18,25,"Put Your Records On"
"131","Falling","Trevor Daniel",5,68,"Falling"
"132","All We Got (feat. KIDDO)","Robin Schulz, KIDDO",86,10,0
"133","Tapão Na Raba","Raí Saia Rodada",129,2,0
"134","Come & Go (with Marshmello)","Juice WRLD, Marshmello",4,34,0
"135","Dreams - 2004 Remaster","Fleetwood Mac",20,23,0
"136","Why'd You Only Call Me When You're High?","Arctic Monkeys",104,10,0
"137","Do I Wanna Know?","Arctic Monkeys",117,10,0
"138","All Girls Are The Same","Juice WRLD",48,80,0
"139","Bohemian Rhapsody - Remastered 2011","Queen",11,129,0
"140","Parce (feat. Justin Quiles)","Maluma, Lenny Tavárez, Justin Quiles",37,28,0
"141","All of Me","John Legend",110,105,0
"142","7 rings","Ariana Grande",1,109,0
"143","Break My Heart","Dua Lipa",7,49,"Future Nostalgia"
"144","Tú Me Dejaste De Querer","C. Tangana, Niño de Elche, La Húngara",42,12,0
"145","If the World Was Ending (feat. Julia Michaels)","JP Saxe, Julia Michaels",38,68,0
"146","Love Story (Taylor’s Version)","Taylor Swift",8,3,0
"147","Esquema Preferido (feat. Tarcísio do Acordeon)","DJ Ivis, Tarcísio do Acordeon",97,5,0
"148","Ride It","Regard",12,78,0
"149","SICKO MODE","Travis Scott",2,134,0
"150","Martin & Gina","Polo G",116,20,0
"151","La Curiosidad","Jay Wheeler, DJ Nelson, Myke Towers",19,36,0
"152","Stuck with U (with Justin Bieber)","Ariana Grande, Justin Bieber",2,43,0
"153","my ex's best friend (with blackbear)","Machine Gun Kelly, blackbear",39,29,0
"154","SAD!","XXXTENTACION",1,155,0
"155","Se Te Nota (with Guaynaa)","Lele Pons, Guaynaa",24,24,0
"156","Somebody That I Used To Know","Gotye, Kimbra",152,2,0
"157","Rain On Me (with Ariana Grande)","Lady Gaga, Ariana Grande",1,41,0
"158","Tusa","KAROL G, Nicki Minaj",3,69,0
"159","Love Not War (The Tampa Beat)","Jason Derulo, Nuka",105,10,0
"160","Every Breath You Take","The Police",157,12,0
"161","Godzilla (feat. Juice WRLD)","Eminem, Juice WRLD",4,59,0
"162","Ponte Pa' Mi","Justin Quiles",141,10,0
"163","Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",107,7,0
"164","Antes","Anuel AA, Ozuna",54,6,0
"165","Yellow","Coldplay",153,11,0
"166","Head Shoulders Knees & Toes (feat. Norma Jean Martine)","Ofenbach, Quarterhead, Norma Jean Martine",91,25,0
"167","Mood Swings (feat. Lil Tjay)","Pop Smoke, Lil Tjay",12,35,0
"168","POPSTAR (feat. Drake)","DJ Khaled, Drake",7,33,0
"169","SO DONE","The Kid LAROI",46,19,0
"170","Just the Way You Are","Bruno Mars",155,4,0
"171","Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne",15,35,0
"172","everything i wanted","Billie Eilish",2,68,0
"173","Closer","The Chainsmokers, Halsey",2,159,0
"174","when the party's over","Billie Eilish",9,118,0
"175","Smells Like Teen Spirit","Nirvana",169,9,0
"176","Counting Stars","OneRepublic",173,3,0
"177","Riptide","Vance Joy",171,16,0
"178","hot girl bummer","blackbear",9,78,"hot girl bummer"
"179","Fan de Tus Fotos","Nicky Jam, Romeo Santos",176,1,0
"180","Stressed Out","Twenty One Pilots",63,38,0
"181","Facas - Ao Vivo","Diego & Victor Hugo, Bruno & Marrone",137,5,0
"182","Jeans","Justin Quiles",35,27,0
"183","How You Like That","BLACKPINK",4,36,0
"184","ROXANNE","Arizona Zervas",2,70,"ROXANNE"
"185","Star Shopping","Lil Peep",152,22,0
"186","rockstar (feat. 21 Savage)","Post Malone, 21 Savage",1,172,0
"187","Electric Love","BØRNS",61,25,"Dopamine"
"188","Párteme La Cara","C. Tangana, Ed Maverick",185,1,0
"189","Mr. Brightside","The Killers",148,42,0
"190","The Less I Know The Better","Tame Impala",149,50,"Currents"
"191","Take on Me","a-ha",188,2,0
"192","Someone To You","BANNERS",123,24,0
"193","What Other People Say","Sam Fischer, Demi Lovato",190,1,0
"194","Hope","XXXTENTACION",42,30,0
"195","Maniac","Conan Gray",112,27,"Kid Krow"
"196","Without Me","Halsey",4,121,"Without Me"
"197","In the End","Linkin Park",22,12,0
"198","BOOKER T","Bad Bunny",33,12,0
"199","Intentions (feat. Quavo)","Justin Bieber, Quavo",5,54,0
"200","Sofia","Clairo",49,22,0
"201","Photograph","Ed Sheeran",41,149,0
"202","Something Just Like This","The Chainsmokers, Coldplay",2,161,0
"203","Say So","Doja Cat",6,59,"Hot Pink"
"204","STAY (with Justin Bieber)","The Kid LAROI, Justin Bieber",1,6,0
"205","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X, Jack Harlow",2,4,0
"206","Beggin'","Måneskin",1,11,"Chosen"
"207","Bad Habits","Ed Sheeran",3,8,"Bad Habits"
"208","good 4 u","Olivia Rodrigo",1,14,"good 4 u"
"209","good 4 u","Olivia Rodrigo",1,14,"SOUR"
"210","Happier Than Ever","Billie Eilish",6,3,0
"211","Need to Know","Doja Cat",7,10,"Planet Her"
"212","Pepas","Farruko",8,6,"Pepas"
"213","MONTERO (Call Me By Your Name)","Lil Nas X",1,21,"MONTERO (Call Me By Your Name)"
"214","Kiss Me More (feat. SZA)","Doja Cat, SZA",3,19,0
"215","Take My Breath - Single Version","The Weeknd",7,2,0
"216","Todo De Ti","Rauw Alejandro",2,13,"Todo De Ti"
"217","Volví","Aventura, Bad Bunny",10,3,0
"218","Woman","Doja Cat",14,6,"Planet Her"
"219","I WANNA BE YOUR SLAVE","Måneskin",8,13,0
"220","Yonaguni","Bad Bunny",3,11,0
"221","Qué Más Pues?","J Balvin, Maria Becerra",9,12,0
"222","traitor","Olivia Rodrigo",7,13,0
"223","Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber, Daniel Caesar, Giveon",1,22,0
"224","Rumors (feat. Cardi B)","Lizzo, Cardi B",21,1,0
"225","Save Your Tears (with Ariana Grande) (Remix)","The Weeknd, Ariana Grande",5,17,0
"226","Butter","BTS",2,13,"Butter (Hotter, Sweeter, Cooler)"
"227","deja vu","Olivia Rodrigo",3,20,"SOUR"
"228","AM Remix","Nio Garcia, J Balvin, Bad Bunny",14,8,0
"229","Volando - Remix","Mora, Bad Bunny, Sech",19,6,0
"230","Permission to Dance","BTS",5,6,"Butter / Permission to Dance"
"231","París","Ingratax",31,4,0
"232","2055","Sleepy Hallow",32,5,0
"233","Leave The Door Open","Bruno Mars, Anderson .Paak, Silk Sonic",5,24,0
"234","Ain't Shit","Doja Cat",22,8,"Planet Her"
"235","911 - Remix","Sech, Jhay Cortez",35,6,0
"236","happier","Olivia Rodrigo",12,13,"SOUR"
"237","Entre Nosotros","Tiago PZK, LIT killah",34,6,0
"238","Cúrame","Rauw Alejandro",39,4,0
"239","Sobrio","Maluma",41,6,0
"240","Don't Go Yet","Camila Cabello",32,4,0
"241","Love Tonight - Edit","Shouse",44,7,0
"242","Miénteme","TINI, Maria Becerra",41,16,0
"243","jealousy, jealousy","Olivia Rodrigo",17,13,0
"244","Pareja Del Año","Sebastian Yatra, Myke Towers",10,18,0
"245","Tiroteo - Remix","Marc Seguí, Rauw Alejandro, Pol Granch",48,7,0
"246","favorite crime","Olivia Rodrigo",11,13,0
"247","RAPSTAR","Polo G",3,19,"RAPSTAR"
"248","Poblado - Remix","J Balvin, KAROL G, Nicky Jam, Crissin, Totoy El Frio, Natan & Shander",33,9,0
"249","In Da Getto","J Balvin, Skrillex",53,7,0
"250","Freaks","Surf Curse",55,16,"Freaks"
"251","Motley Crew","Post Malone",18,6,0
"252","Loco","Justin Quiles, Chimbala, Zion & Lennox",58,11,0
"253","Heartbreak Anthem (with David Guetta & Little Mix)","Galantis, David Guetta, Little Mix",46,13,0
"254","Leave Before You Love Me (with Jonas Brothers)","Marshmello, Jonas Brothers",52,12,0
"255","Get Into It (Yuh)","Doja Cat",62,3,0
"256","double take","dhruv",65,6,"double take"
"257","Meu Pedaço de Pecado","João Gomes",57,8,0
"258","Rasputin","Majestic, Boney M.",40,17,0
"259","Love Again","Dua Lipa",70,6,0
"260","Run","OneRepublic",56,15,0
"261","You Right","Doja Cat, The Weeknd",15,8,0
"262","Fiel - Remix","Wisin, Jhay Cortez, Anuel AA, Los Legendarios, Myke Towers",29,9,0
"263","Bilmem Mi?","Sefo",75,2,0
"264","Cold Heart - PNAU Remix","Elton John, Dua Lipa, PNAU",76,1,0
"265","Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5, Megan Thee Stallion",34,24,0
"266","Thot Shit","Megan Thee Stallion",46,10,"Thot Shit"
"267","Dark Red","Steve Lacy",81,2,0
"268","Don't Be Shy","Tiësto, KAROL G",82,1,0
"269","Quer Voar","Matuê",83,1,0
"270","Skate","Bruno Mars, Anderson .Paak, Silk Sonic",33,3,0
"271","Levitating","Dua Lipa",52,22,"Future Nostalgia"
"272","ALMAS GEMELAS","Myke Towers",87,3,0
"273","Build a Bitch","Bella Poarch",20,14,"Build a Bitch"
"274","brutal","Olivia Rodrigo",9,13,0
"275","2/Catorce","Rauw Alejandro, Mr. Naisgai",31,15,0
"276","Iko Iko (My Bestie)","Justin Wellington, Small Jam",78,11,0
"277","FULANITO","Becky G, El Alfa",89,6,0
"278","NDA","Billie Eilish",19,6,0
"279","NOT SOBER (feat. Polo G & Stunna Gambino)","The Kid LAROI, Polo G, Stunna Gambino",36,4,0
"280","Chosen (feat. Ty Dolla $ign)","Blxst, Tyga, Ty Dolla $ign",104,4,0
"281","EL MAKINON","KAROL G, Mariah Angeliq",33,21,0
"282","Botella Tras Botella","Gera MX, Christian Nodal",9,17,0
"283","Wants and Needs (feat. Lil Baby)","Drake, Lil Baby",6,24,0
"284","MORENA","Luan Santana",111,6,0
"285","Here's Your Perfect","Jamie Miller",104,7,"Here's Your Perfect"
"286","Love Me Now (feat. Zoe Wees)","Kygo, Zoe Wees",113,1,0
"287","Talking to the Moon","Bruno Mars",45,22,"Doo-Wops & Hooligans"
"288","Dinero","Trinidad Cardona",33,10,"Dinero"
"289","Rolê","Tarcísio do Acordeon, Marcynho Sensação",117,2,0
"290","Hold On","Justin Bieber",5,24,"Justice"
"291","BED","Joel Corry, RAYE, David Guetta",42,23,0
"292","Ficha Limpa","Gusttavo Lima",125,7,0
"293","YaMeFui","Bizarrap, Duki, Nicki Nicole",99,3,0
"294","ZITTI E BUONI","Måneskin",12,14,0
"295","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]","BANDIDO, Duki, Rei, Tiago PZK",103,8,0
"296","The Nights","Avicii",44,23,0
"297","512","Mora, Jhay Cortez",55,16,0
"298","REPEAT IT (with Gunna)","Lil Tecca, Gunna",128,2,0
"299","Aquelas Coisas","João Gomes",131,6,0
"300","papercuts","Machine Gun Kelly",140,1,0
"301","Pain","PinkPantheress",143,3,0
"302","Just for me","PinkPantheress",145,1,0
"303","Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",19,7,0
"304","Another Love","Tom Odell",76,19,"Long Way Down (Deluxe)"
"305","Auf & Ab","Montez",144,3,0
"306","Miss The Rage (feat. Playboi Carti)","Trippie Redd, Playboi Carti",19,15,0
"307","Never Going Home","Kungs",155,3,0
"308","Little Bit of Love","Tom Grennan",110,16,0
