title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"One Right Now (with The Weeknd)","Post Malone, The Weeknd","One Right Now",USUM72120404,spotify,00Blm7zeNqgYLPtW6zg8cj,194s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
"Where Did You Go?","Jax Jones, MNEK","Where Did You Go?",GBUM72108841,spotify,26KOUSe9W0ZsTxMgNfbmq1,178s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/26KOUSe9W0ZsTxMgNfbmq1
Options,thom.ko,Options,QM6N22291056,spotify,0rDSRbJlxolmrRyXB791w1,152s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0rDSRbJlxolmrRyXB791w1
"Easy On Me",Adele,"Easy On Me",USSM12105970,spotify,0gplL1WMoJ6iYaPgMCL0gX,225s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX
Starlight,Dave,Starlight,GBUM72201160,spotify,531KGXtBroSrOX9LVmiIgc,212s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)",USSM12104539,spotify,27NovPIUIRrOZoCHxABJwK,212s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
"Swing My Way",Munboi,"Swing My Way",QM6N22283944,spotify,2MPDpEcM5KydRqGTsi4Ckn,240s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/2MPDpEcM5KydRqGTsi4Ckn
"Kiss Me More (feat. SZA)","Doja Cat, SZA","Kiss Me More (feat. SZA)",USRC12100543,spotify,748mdHapucXQri7IAO8yFK,209s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
"Forget Me","Lewis Capaldi","Forget Me",DEUM72204717,spotify,5uSFGgIfHMT3osrAd9n9ym,203s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5uSFGgIfHMT3osrAd9n9ym
"good 4 u","Olivia Rodrigo","good 4 u",USUG12101245,spotify,6PERP62TejQjgHu81OHxgM,178s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6PERP62TejQjgHu81OHxgM
"Fever Dream","Rival, Luxtides","Fever Dream",QM4TW2284972,spotify,1lwcavs7D5vkqawzn5vbqI,153s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/1lwcavs7D5vkqawzn5vbqI
"My Universe","Coldplay, BTS","My Universe",GBAYE2100952,spotify,3FeVmId7tL5YN8B7R3imoM,228s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3FeVmId7tL5YN8B7R3imoM
"WAIT FOR U (feat. Drake & Tems)","Future, Drake, Tems","I NEVER LIKED YOU",USSM12203789,spotify,59nOXPmaKlBfGMDeOVGrIK,190s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
Bones,"Imagine Dragons",Bones,USUM72201759,spotify,0HqZX76SFLDz2aW8aiqi7G,165s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G
omw,"Adriel Rivera, Pres",omw,QM6MZ2276771,spotify,5Yyt1mlEq4McET3sxfsjyw,164s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5Yyt1mlEq4McET3sxfsjyw
"Bad Habits","Ed Sheeran","Bad Habits",GBAHS2100318,spotify,6PQ88X9TkUIAUIZJHW2upE,231s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
go,"Cat Burns",go,GBKPL2013050,spotify,4VtRHZ4tBDHaWltVAytlLY,215s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4VtRHZ4tBDHaWltVAytlLY
Beggin',Måneskin,Chosen,ITB001700846,spotify,3Wrjm47oTz2sjIgck11l5e,212s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
"Back from the Dead","Besomorph, AViVA, Neoni","Back from the Dead",QZFZ42274362,spotify,19bWcmH61AXuZqRjmLyBcZ,179s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/19bWcmH61AXuZqRjmLyBcZ
"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber, Daniel Caesar, Giveon",Justice,USUM72102636,spotify,4iJyoBOLtHqaGxP12qzhQI,198s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
"TO THE MOON","Jnr Choi, Sam Tompkins","TO THE MOON",QZNWW2131527,spotify,5vUnjhBzRJJIAOJPde6zDx,152s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
Skyfall,"Meric Again, BRAN, Besomage, RIELL",Skyfall,QZHN82234657,spotify,06CVfzsgBH1vcNBjOwHVLY,151s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/06CVfzsgBH1vcNBjOwHVLY
"IDGAF (with blackbear)","BoyWithUke, blackbear",IDGAF,USUG12201227,spotify,6Jrdb6CFOJEGaHjaa6c4WR,141s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/6Jrdb6CFOJEGaHjaa6c4WR
"I AM WOMAN","Emmy Meli","I AM WOMAN",USAR12100239,spotify,3nOz1U41SZZ0N3fuUWr9nb,233s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
"BOO HOO","Neoni, RIELL","BOO HOO",QZFZ42232800,spotify,72JlIpEVjdNwFtffVJP2kK,171s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/72JlIpEVjdNwFtffVJP2kK
"love nwantiti (ah ah ah)",CKay,"CKay The First",QMEU31910213,spotify,2Xr1dTzJee307rmrkt8c0g,146s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
"Do It To It","ACRAZE, Cherish","Do It To It",QZFPL2100100,spotify,20on25jryn53hWghthWWW3,158s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/20on25jryn53hWghthWWW3
"30 Days","Arya, Daiela","30 Days",QM6MZ2273783,spotify,44mKJH9xNJoe31NXSYvQu5,180s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/44mKJH9xNJoe31NXSYvQu5
"MONTERO (Call Me By Your Name)","Lil Nas X","MONTERO (Call Me By Your Name)",USSM12100531,spotify,3BZEcbdtXQSo7OrvKRJ6mb,138s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3BZEcbdtXQSo7OrvKRJ6mb
"Numb Little Bug","Em Beihold","Numb Little Bug",USUM72200626,spotify,3o9kpgkIcffx0iSwxhuNI2,169s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3o9kpgkIcffx0iSwxhuNI2
"Dancing Feet (feat. DNCE)","Kygo, DNCE","Dancing Feet (feat. DNCE)",USRC12200139,spotify,4RAR8g8fZNB106ezUurnE0,215s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
Whiplash,LEFT.,Whiplash,QM6N22257807,spotify,3thbPeqVwBS3ma8U4Ngs5P,150s,"2022-11-05 12:41",partyfiesta!,https://open.spotify.com/track/3thbPeqVwBS3ma8U4Ngs5P
